job-id,job-title,job-listing-date,job-url,job-location-state,job-location-city,job-location-area,job-location-suburb,job-advertiser,job-advertiser-email,job-advertiser-phone,job-classification,job-sub-classification,job-citizenship-required
51479984,Bioinformatician (Proteomics) in Computational Functional Genomics,2021-02-08 04:57:13,https://www.seek.com.au/job/51479984,New South Wales,Sydney,Parramatta & Western Suburbs,westmead,Children's Medical Research Institute,,Yes,Science & Technology,Biological & Biomedical Sciences,
51476992,Data Scientist,2021-02-08 01:45:33,https://www.seek.com.au/job/51476992,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,FourQuarters Recruitment,,,Information & Communication Technology,Other,
51474626,Data Scientist,2021-02-07 22:48:29,https://www.seek.com.au/job/51474626,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Intelligen Pty Ltd,,,Information & Communication Technology,Other,
51473890,Applied Data Scientist,2021-02-07 20:43:27,https://www.seek.com.au/job/51473890,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Reece Group,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51464983,Data Scientist,2021-02-05 02:29:33,https://www.seek.com.au/job/51464983,Victoria,Melbourne,CBD & Inner Suburbs,richmond,Sweat Pty Ltd,Yes,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51464948,Data Scientist,2021-02-05 02:26:55,https://www.seek.com.au/job/51464948,South Australia,Adelaide,,parkside,Sweat Pty Ltd,Yes,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51458931,Data Scientist,2021-02-04 06:55:10,https://www.seek.com.au/job/51458931,Queensland,Brisbane,CBD & Inner Suburbs,eightmileplains,Fugro Australia Land,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51457328,Data Scientist,2021-02-04 05:00:57,https://www.seek.com.au/job/51457328,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Talentpool Recruitment,Yes,,Information & Communication Technology,Developers/Programmers,
51448121,Python Developer/Data Scientist,2021-02-03 06:21:50,https://www.seek.com.au/job/51448121,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Draftable,,,Information & Communication Technology,Developers/Programmers,
51438124,Data Scientist,2021-02-02 07:32:09,https://www.seek.com.au/job/51438124,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Elula,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51426473,Data Scientist,2021-02-01 06:07:07,https://www.seek.com.au/job/51426473,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Talent International,Yes,Yes,Information & Communication Technology,Database Development & Administration,
51425960,Data Scientist,2021-02-01 05:35:03,https://www.seek.com.au/job/51425960,Victoria,Melbourne,Eastern Suburbs,,Aurec Group,,,Information & Communication Technology,Engineering - Software,
51423877,Data Scientist,2021-02-01 03:45:32,https://www.seek.com.au/job/51423877,New South Wales,Sydney,,sydney,TrooCoo,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51419793,Junior Data Scientist,2021-01-31 23:31:51,https://www.seek.com.au/job/51419793,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Correlate Resources,Yes,,Science & Technology,Modelling & Simulation,
51418760,Data Scientist,2021-01-31 22:15:52,https://www.seek.com.au/job/51418760,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Intelligen Pty Ltd,,,Information & Communication Technology,Other,
51417679,Data Scientist,2021-01-31 10:28:56,https://www.seek.com.au/job/51417679,Victoria,Melbourne,Western Suburbs,,On The Line Australia,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51417536,Snr Back End Engineer,2021-01-31 08:32:32,https://www.seek.com.au/job/51417536,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Crew Talent Advisory,,,Information & Communication Technology,Developers/Programmers,
51409429,Data Scientist,2021-01-29 02:33:11,https://www.seek.com.au/job/51409429,Western Australia,Perth,,,Robert Walters,,Yes,Information & Communication Technology,Product Management & Development,Yes
51404640,DataOps Engineer,2021-01-28 22:58:53,https://www.seek.com.au/job/51404640,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Tamr,,,Information & Communication Technology,Consultants,
51395479,Data Scientist - Client management role,2021-01-27 22:40:33,https://www.seek.com.au/job/51395479,New South Wales,Sydney,,,Hydrogen Group,,,Information & Communication Technology,Engineering - Software,
51387397,Data Scientist & Analyst,2021-01-27 00:44:50,https://www.seek.com.au/job/51387397,Victoria,Melbourne,,broadmeadows,Bendigo Kangan Institute,,Yes,Information & Communication Technology,Other,
51368744,Analytics Consultant / Aspiring Data Scientist,2021-01-22 04:31:15,https://www.seek.com.au/job/51368744,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Talent Insights Group,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51357391,Data Scientist,2021-01-21 03:46:08,https://www.seek.com.au/job/51357391,Western Australia,Perth,Eastern Suburbs,kewdale,Kinetic Logging Services,,,Information & Communication Technology,Database Development & Administration,
51348848,Data Scientist,2021-01-20 05:31:04,https://www.seek.com.au/job/51348848,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,KBR,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51348764,Data Scientist,2021-01-20 05:26:48,https://www.seek.com.au/job/51348764,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,KBR,,,Information & Communication Technology,Database Development & Administration,
51348205,Principal Data Scientist,2021-01-20 04:52:32,https://www.seek.com.au/job/51348205,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,SEEK,,,Science & Technology,"Mathematics, Statistics & Information Sciences",
51344969,Data Scientist,2021-01-20 01:35:14,https://www.seek.com.au/job/51344969,Queensland,Brisbane,CBD & Inner Suburbs,southbrisbane,KBR,,,Information & Communication Technology,Database Development & Administration,
51323756,Data Scientist,2021-01-18 03:18:45,https://www.seek.com.au/job/51323756,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",surryhills,Intelligen Pty Ltd,,,Information & Communication Technology,Other,
51539097,Senior Data Analyst,2021-02-15 09:33:08,https://www.seek.com.au/job/51539097,Victoria,Melbourne,,,Department of Education & Training VIC,,,Government & Defence,Government - State,
51539098,Senior Data Analyst,2021-02-15 09:33:08,https://www.seek.com.au/job/51539098,Victoria,Melbourne,,,Department of Education & Training VIC,,,Government & Defence,Government - State,
51536087,Senior Data Analyst,2021-02-15 04:54:47,https://www.seek.com.au/job/51536087,Victoria,Melbourne,,,Department of Justice and Community Safety VIC,,,Government & Defence,Government - State,
51536086,Senior Data Analyst,2021-02-15 04:54:46,https://www.seek.com.au/job/51536086,Victoria,Melbourne,,,Department of Justice and Community Safety VIC,,,Information & Communication Technology,Database Development & Administration,
51534090,Senior Data Analyst,2021-02-15 03:04:18,https://www.seek.com.au/job/51534090,New South Wales,Far West & North Central NSW,,brokenhill,Western NSW PHN,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,
51534066,Senior Data Analyst,2021-02-15 03:03:36,https://www.seek.com.au/job/51534066,New South Wales,Blue Mountains & Central West,,bathurst,Western NSW PHN,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,
51534004,Senior Data Analyst,2021-02-15 03:01:35,https://www.seek.com.au/job/51534004,New South Wales,Blue Mountains & Central West,,orange,Western NSW PHN,Yes,Yes,Information & Communication Technology,Business/Systems Analysts,
